datetime,Date,TimeStamp,Open,High,Low,Close,Volume,average0,moving_average150,price_ref,Orders,Amounts,Modulators
2021-03-22 20:00:00,2021-03-22 20:00:00,1616457600000.0,54083.25,55830.9,53000.0,54340.89,59789.365427,54212.07,32537.037333333337,32537.037333333337,1.0,0.46740364104481735,0.046740364104481735
2021-03-23 20:00:00,2021-03-23 20:00:00,1616544000000.0,54342.8,57200.0,51700.0,52303.65,83537.465021,53323.225000000006,32805.3903,32805.3903,1.0,0.5422165984129043,0.054221659841290425
2021-03-24 20:00:00,2021-03-24 20:00:00,1616630400000.0,52303.66,53287.0,50427.56,51293.78,87400.534538,51798.72,33063.77566666667,33063.77566666667,1.0,0.6763951826487276,0.06763951826487276
2021-03-25 20:00:00,2021-03-25 20:00:00,1616716800000.0,51293.78,55073.46,51214.6,55025.59,63813.774692,53159.685,33329.2125,33329.2125,1.0,0.6073736136069686,0.06073736136069686
2021-03-26 20:00:00,2021-03-26 20:00:00,1616803200000.0,55025.59,56700.36,53950.0,55817.14,50105.475055,55421.365,33609.01306666667,33609.01306666667,1.0,0.49736045200972606,0.049736045200972606
2021-03-27 20:00:00,2021-03-27 20:00:00,1616889600000.0,55817.14,56559.75,54691.84,55777.63,39050.387511,55797.384999999995,33891.92196666667,33891.92196666667,1.0,0.5022201254884959,0.050222012548849594
2021-03-28 20:00:00,2021-03-28 20:00:00,1616976000000.0,55777.65,58405.82,54800.01,57635.47,67857.937398,56706.56,34179.91306666667,34179.91306666667,1.0,0.47954118085875763,0.04795411808587576
2021-03-29 20:00:00,2021-03-29 20:00:00,1617062400000.0,57635.46,59368.0,57071.35,58746.57,55122.443122,58191.015,34476.68283333333,34476.68283333333,1.0,0.4325310075442024,0.04325310075442024
2021-03-30 20:00:00,2021-03-30 20:00:00,1617148800000.0,58746.57,59800.0,56769.0,58740.55,60975.542666,58743.56,34776.4649,34776.4649,1.0,0.430478062370909,0.0430478062370909
2021-03-31 20:00:00,2021-03-31 20:00:00,1617235200000.0,58739.46,59490.0,57935.45,58720.44,47415.61722,58729.95,35076.9617,35076.9617,1.0,0.4539144670782708,0.045391446707827084
2021-04-01 20:00:00,2021-04-01 20:00:00,1617321600000.0,58720.45,60200.0,58428.57,58950.01,47382.418781,58835.229999999996,35377.28603333333,35377.28603333333,1.0,0.4726311532604738,0.04726311532604738
2021-04-02 20:00:00,2021-04-02 20:00:00,1617408000000.0,58950.01,59791.72,56880.0,57051.94,47409.852113,58000.975000000006,35670.0674,35670.0674,1.0,0.5410181249409343,0.054101812494093425
2021-04-03 20:00:00,2021-04-03 20:00:00,1617494400000.0,57051.95,58492.85,56388.0,58202.01,41314.081973,57626.979999999996,35955.133833333326,35955.133833333326,1.0,0.5899433290648867,0.058994332906488665
2021-04-04 20:00:00,2021-04-04 20:00:00,1617580800000.0,58202.01,59272.0,56777.77,59129.99,54258.01579,58666.0,36242.34069999999,36242.34069999999,1.0,0.555876820369803,0.0555876820369803
2021-04-05 20:00:00,2021-04-05 20:00:00,1617667200000.0,59129.99,59495.24,57413.02,57991.15,54201.000727,58560.57,36531.41706666666,36531.41706666666,1.0,0.5893419315722658,0.05893419315722658
2021-04-06 20:00:00,2021-04-06 20:00:00,1617753600000.0,57990.03,58655.0,55473.0,55953.45,71228.405659,56971.74,36810.25066666667,36810.25066666667,1.0,0.7275381097031097,0.07275381097031097
2021-04-07 20:00:00,2021-04-07 20:00:00,1617840000000.0,55953.44,58153.31,55700.0,58077.52,44283.147019,57015.479999999996,37087.6755,37087.6755,1.0,0.7575668758672688,0.07575668758672688
2021-04-08 20:00:00,2021-04-08 20:00:00,1617926400000.0,58077.52,58894.9,57654.0,58142.54,40831.884911,58110.03,37372.9903,37372.9903,1.0,0.707685815686701,0.0707685815686701
2021-04-09 20:00:00,2021-04-09 20:00:00,1618012800000.0,58142.55,61500.0,57900.01,59769.13,69906.424117,58955.84,37662.75773333333,37662.75773333333,1.0,0.6796912993083003,0.06796912993083003
2021-04-10 20:00:00,2021-04-10 20:00:00,1618099200000.0,59769.13,60699.0,59232.52,60002.43,41156.715391,59885.78,37955.40923333333,37955.40923333333,1.0,0.6481862391558382,0.06481862391558382
2021-04-11 20:00:00,2021-04-11 20:00:00,1618185600000.0,59998.8,61300.0,59350.59,59860.0,56375.037117,59929.4,38246.23006666667,38246.23006666667,1.0,0.6756040137541336,0.06756040137541336
2021-04-12 20:00:00,2021-04-12 20:00:00,1618272000000.0,59860.01,63777.77,59805.15,63575.0,82848.688746,61717.505000000005,38549.711800000005,38549.711800000005,1.0,0.5938498459151534,0.059384984591515345
2021-04-13 20:00:00,2021-04-13 20:00:00,1618358400000.0,63575.01,64854.0,61301.0,62959.53,82616.343993,63267.270000000004,38864.7384,38864.7384,1.0,0.5373533035288751,0.053735330352887516
2021-04-14 20:00:00,2021-04-14 20:00:00,1618444800000.0,62959.53,63800.0,62020.0,63159.98,51649.70034,63059.755000000005,39176.234866666666,39176.234866666666,1.0,0.5749399587311009,0.05749399587311009
2021-04-15 20:00:00,2021-04-15 20:00:00,1618531200000.0,63158.74,63520.61,60000.0,61334.8,91764.139884,62246.770000000004,39476.63846666667,39476.63846666667,1.0,0.6506389549046586,0.06506389549046586
